Satisfaction,Observation,5ghi,2ghi,5gcm,5gcs,Alph,Acppc,Tobl,Blp10al,Macppc,Po5co5,Rmph,Rsph,Stco,Trcpc,Tume,Umempd,Umegmpd,Waps,War,Eain,Eaua,strn
Unsatisfied,98,No,No,0,0,39036,3.33,57.75,14.79,10,Yes,3-Feb,2,26,10,1,1,1,738.59,19942,0,0,Yes
Somewhat Satisfied,99,No,No,0,0,17325,2.67,8.94,5.16,7,No,3-Feb,3,14,8,0,0,0,202.8,3042,4,8,Yes
Somewhat Satisfied,100,Yes,No,0,0,14630,4.5,72.93,49.85,8,Yes,3-Feb,15,13,9,0,0,0,839.93,11759,,,No
Unsatisfied,101,Yes,Yes,0,0,43749,2.67,29.43,6.73,4,No,3-Feb,2,16,8,2,1,1,380.35,6466,0,0,Yes
Satisfied,102,No,No,0,0,,0,,,0,No,3-Feb,3,2,0,0,0,0,120.33,361,7,5,No
Unsatisfied,103,No,No,0,0,45450,1.4,1.71,0.38,5,No,3-Feb,1,13,7,7,2,2,1962.57,27476,0,0,No
Somewhat Satisfied,104,Yes,No,2,4,51891,3.67,43.53,8.39,8,No,3-Feb,6,16,11,77,40,3,1982.59,33704,,,No
Unsatisfied,105,Yes,No,0,0,18156,1.33,7.79,4.29,2,Yes,3-Feb,4,5,4,0,0,0,514,3084,3,Don't know,No
Somewhat Satisfied,106,No,No,0,0,11316,0.67,30.26,26.74,1,No,3-Feb,1,4,2,1,1,1,63.6,318,6,Don't know,No
Satisfied,107,Yes,No,0,0,167580,1.67,38.78,2.31,4,No,3-Feb,5,20,10,1,1,1,773.1,16235,7,9,Yes
Somewhat Satisfied,108,Yes,No,0,0,53185,1.6,22.07,4.15,5,Yes,3-Feb,2,18,8,8,2,2,4145.53,78765,,,No
Unsatisfied,109,No,No,0,0,32115,3,6,1.87,6,No,3-Feb,3,20,9,1,1,1,1637.05,34378,4,8,Yes
Satisfied,110,Yes,No,0,0,66609,3,16.65,2.5,4,No,3-Feb,1,16,9,0,0,0,23,391,4,9,Yes
Somewhat Satisfied,111,Yes,No,0,0,25710,3,16.89,6.57,5,No,3-Feb,15,22,6,8,8,3,467.17,10745,6,6,Yes
Satisfied,112,No,No,0,0,15824,1.5,0.87,0.55,3,No,3-Feb,15,11,3,2,2,2,1009.5,12114,10,10,Yes
Unsatisfied,113,No,No,1,3,30831,2,17.97,5.83,4,Yes,3-Feb,1,11,6,2,1,1,1732.67,20792,1,1,No
Unsatisfied,114,No,No,1,3,30123,1,4.09,1.36,3,No,3-Feb,1,10,3,2,1,1,48.91,538,3,Don't know,No
Somewhat Satisfied,115,Yes,No,0,0,10544,7,49.61,47.05,7,No,3-Feb,2,13,7,0,0,0,76,1064,,,No
Satisfied,116,No,No,1,2,15162,0.33,0.87,0.57,1,No,3-Feb,1,9,1,2,1,1,5664.9,56649,5,8,Yes
Unsatisfied,117,No,Yes,0,0,45654,1.67,1.18,0.26,5,Yes,3-Feb,1,21,5,2,1,1,15.45,340,6,4,Yes
Satisfied,118,No,No,2,5,99699,3.33,6.55,0.66,7,No,3-Feb,1,30,10,2,1,1,360.16,11165,6,6,Yes
Satisfied,119,No,No,0,0,159,1,0.03,1.58,1,No,3-Feb,2,4,1,0,0,0,4.2,21,1,Don't know,Yes
Unsatisfied,120,No,No,0,0,7186,6,0.79,1.1,6,Yes,3-Feb,1,13,6,0,0,0,133.21,1865,0,7,No
Unsatisfied,121,No,No,0,0,6566,2,1.09,1.65,2,No,3-Feb,3,10,2,0,0,0,28.18,310,2,2,No
Satisfied,122,No,No,1,2,18462,1.33,20.92,11.33,4,No,3-Feb,2,10,4,5,3,3,196.36,2160,6,Don't know,No
Satisfied,123,No,No,0,0,3108,0,0.4,1.3,0,No,3-Feb,4,5,0,0,0,0,81.5,489,7,7,No
Unsatisfied,124,No,No,0,0,25104,2,3.4,1.35,5,Yes,3-Feb,1,14,6,4,2,2,1357.93,20369,0,0,Yes
Somewhat Satisfied,125,No,No,0,0,57291,3,36.63,6.39,9,Yes,3-Feb,2,20,9,0,0,0,3488.76,73264,5,5,Yes
Unsatisfied,126,No,No,0,0,56740,1.6,29.25,5.15,5,Yes,3-Feb,2,29,8,8,2,2,95.2,2856,8,10,No
Unsatisfied,127,No,Yes,0,0,10474,1,11.43,10.92,2,Yes,3-Feb,15,14,2,0,0,0,1412.27,21184,7,,No
Satisfied,128,No,No,0,0,29754,3.33,137.05,46.06,7,Yes,3-Feb,3,19,10,0,0,0,145.4,2908,8,6,Yes
